date,structure,S_open,S_close,iv,gross_credit,pnl,vix_prev,put_strike,put_credit,put_exit,put_reason,put_pnl,call_strike,call_credit,call_exit,call_reason,call_pnl
2026-07-10,strangle,752.05,754.95,0.1584,314.1,311.5,15.84,751,2.43,0.0,expire,241.57,759,0.71,0.0,expire,69.92
2026-07-13,strangle,752.47,749.17,0.1503,278.72,93.12,15.03,751,2.1,1.83,expire,25.68,759,0.69,0.0,expire,67.44
2026-07-14,strangle,750.91,751.83,0.1716,358.58,355.98,17.16,750,2.73,0.0,expire,272.06,758,0.85,0.0,expire,83.92
2026-07-15,strangle,754.24,754.81,0.165,331.67,329.07,16.5,753,2.48,0.0,expire,246.44,761,0.84,0.0,expire,82.64
2026-07-16,strangle,752.76,750.72,0.1567,335.78,205.18,15.67,752,2.53,1.28,expire,123.69,759,0.83,0.0,expire,81.49
2026-07-17,strangle,742.08,743.29,0.1673,334.37,331.77,16.73,741,2.54,0.0,expire,252.77,749,0.8,0.0,expire,79.01
2026-07-20,strangle,747.06,742.09,0.1877,383.61,-9.99,18.77,746,2.95,3.91,expire,-97.38,755,0.89,0.0,expire,87.39
2026-07-21,strangle,746.29,748.28,0.1865,373.34,370.74,18.65,745,2.82,0.0,expire,280.79,754,0.91,0.0,expire,89.95
2026-07-22,strangle,746.62,747.41,0.1705,359.95,357.35,17.05,746,2.83,0.0,expire,281.53,754,0.77,0.0,expire,75.82
2026-07-23,strangle,739.37,738.18,0.1664,322.68,320.08,16.64,738,2.39,0.0,expire,237.39,746,0.84,0.0,expire,82.69
2026-07-24,strangle,738.51,738.93,0.187,408.74,406.14,18.7,738,3.15,0.0,expire,313.81,746,0.94,0.0,expire,92.33
2026-07-27,strangle,744.91,739.09,0.1858,399.51,-94.08,18.58,744,2.97,4.91,expire,-195.1,752,1.02,0.0,expire,101.02
2026-07-28,strangle,739.19,740.86,0.1867,370.95,368.35,18.67,738,2.84,0.0,expire,282.32,747,0.87,0.0,expire,86.03
2026-07-29,strangle,739.97,729.46,0.1821,382.27,-613.27,18.21,739,2.85,9.93,stop,-708.86,747,0.97,0.0,expire,95.6
2026-07-30,strangle,736.05,741.69,0.2066,434.28,431.68,20.66,735,3.25,0.0,expire,323.63,744,1.09,0.0,expire,108.05
2026-07-31,strangle,744.68,747.03,0.1709,358.12,355.52,17.09,744,2.8,0.0,expire,278.67,752,0.78,0.0,expire,76.86
2026-08-03,strangle,749.44,757.67,0.1599,307.54,61.15,15.99,748,2.28,0.0,expire,226.5,756,0.8,2.44,stop,-165.35
2026-08-04,strangle,760.63,771.33,0.1586,350.6,41.36,15.86,760,2.66,0.0,expire,264.33,767,0.85,3.07,stop,-222.97
